"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/592c50f2-d905-50d4-833d-e57378b2f848","http://www.politifact.com/punditfact/statements/2019/jul/15/rush-limbaugh/limbaugh-wrongly-blames-obama-no-census-citizenshi/","Rush Limbaugh","'Somebody in the Obama regime decided to get rid of' the citizenship question in the census.","Limbaugh wrongly blames Obama for no census citizenship question","Census",2019-07-12
"http://data.gesis.org/claimskg/creative_work/58cc9997-23d7-5a00-b966-dc4113f66b6f","http://www.politifact.com/truth-o-meter/statements/2014/aug/03/rick-perry/rick-perry-historic-record-highs-people-terrorists/","Rick Perry","The United States is at 'historic record highs' of individuals being apprehended on the border from countries with terrorist ties such as 'Pakistan or Afghanistan or Syria.'","Rick Perry: 'Historic record highs' of people from terrorists states being apprehended at border","Terrorism,Afghanistan",2014-08-03
"http://data.gesis.org/claimskg/creative_work/c9de5eec-3b08-5c33-8c8b-749e142780d1","http://www.politifact.com/facebook-fact-checks/statements/2019/jan/15/viral-image/did-lettuce-kill-more-americans-undocumented-immig/","Viral image","'Lettuce killed more Americans this year than undocumented immigrants.'","Did lettuce kill more Americans than undocumented immigrants?","Food,Crime,Food Safety",2019-01-10
"http://data.gesis.org/claimskg/creative_work/436935cf-8a68-595f-a069-d4b1139ed727","http://www.politifact.com/truth-o-meter/statements/2010/oct/29/sharron-angle/sharron-angle-says-se-harry-reid-twice-voted-again/","Sharron Angle","Sen. Harry Reid voted 'against declaring English our national language, twice.'","Sharron Angle says Sen. Harry Reid twice voted against making English the national language","Message Machine 2010",2010-10-25
"http://data.gesis.org/claimskg/creative_work/a3300fa0-92ef-54e4-83aa-03332648d2aa","http://www.politifact.com/truth-o-meter/statements/2018/sep/13/jeff-merkley/yes-10-million-were-transferred-fema-ice/","Jeff Merkley","Says the Trump administration transferred $10 million from FEMA to ICE.","Yes, $10 million were transferred from FEMA to ICE","Homeland Security",2018-09-11
"http://data.gesis.org/claimskg/creative_work/36e3d5ac-e066-5610-8dcd-20672c859cd0","http://www.politifact.com/california/statements/2018/sep/12/gavin-newsom/gavin-newsoms-misleading-claim-john-cox-parroting-/","Gavin Newsom","Says John Cox 'parroted, parroted Trump — almost verbatim — on the children’s separation issues at the border.'","Gavin Newsom’s misleading claim on John Cox ‘parroting’ Trump on family separations","Crime,Criminal Justice,Public Safety,The 2018 California Governor's Race",2018-08-17
"http://data.gesis.org/claimskg/creative_work/cfa7c6b4-db3a-5b43-a8f3-c973d7f45bbb","http://www.politifact.com/texas/statements/2011/may/13/jay-carney/president-obamas-press-secretary-says-rick-perry-d/","Jay Carney","Says Rick Perry 'turned down our invitation to meet' President Barack Obama in El Paso.","President Obama's press secretary says Rick Perry declined to meet president in El Paso","Bipartisanship",2011-05-10
"http://data.gesis.org/claimskg/creative_work/7f9a44bf-ee7c-554d-b49b-c200935e2a5f","http://www.politifact.com/truth-o-meter/statements/2017/sep/05/jeff-sessions/jeff-sessions-questionable-claim-daca-helped-cause/","Jeff Sessions","Says President Barack Obama’s policy known as DACA 'contributed to a surge of minors at the southern border.'","Jeff Sessions' questionable claim that DACA helped cause spike in minors at border","Diversity,Legal Issues",2017-09-05
"http://data.gesis.org/claimskg/creative_work/b078cb47-a114-5b1c-81ef-5e5c952c2aa6","http://www.politifact.com/truth-o-meter/statements/2019/feb/20/amy-klobuchar/would-2013-immigration-bill-have-saved-158-b/","Amy Klobuchar","'Comprehensive immigration reform, the bill we had back in 2013 ... brought the debt down $158 billion.'","Would the 2013 immigration bill have saved $158 billion, as Amy Klobuchar said?","Federal Budget",2019-02-18
"http://data.gesis.org/claimskg/creative_work/190039a2-ed6b-543a-a60e-2f76d6c82d83","http://www.politifact.com/truth-o-meter/statements/2016/jul/28/barack-obama/crime-and-illegal-immigration-are-decades-long-low/","Barack Obama","'Illegal immigration and the crime rate are as low as they’ve been in decades.'","Crime and illegal immigration are at decades-long lows, says Barack Obama","Crime,History",2016-07-27
"http://data.gesis.org/claimskg/creative_work/9a1f5403-fa09-550c-98bd-f958fc50aaf0","http://www.politifact.com/texas/statements/2015/apr/17/judicial-watch/judicial-watch-says-isis-has-camp-mexico-and-near-/","Judicial Watch","'ISIS camp a few miles from Texas, Mexican authorities confirm.'","Judicial Watch says ISIS operating a camp in Mexico--near El Paso","Military,Terrorism",2015-04-14
"http://data.gesis.org/claimskg/creative_work/3b816db6-ab1e-5f72-923f-5bd94e153be4","http://www.politifact.com/truth-o-meter/statements/2013/jan/31/rush-limbaugh/limbaugh-says-immigrants-come-us-seeking-prosperit/","Rush Limbaugh","Research shows that 'a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and that's what they support.'","Rush Limbaugh says immigrants come to U.S. seeking prosperity from government","Pundits",2013-01-29
"http://data.gesis.org/claimskg/creative_work/35d93ffa-83ce-509f-bdf5-6a84de3a53c8","http://factscan.ca/andrew-scheer-canadas-sovereignty/","Andrew Scheer","Andrew Scheer: The Global Compact for Migration cedes Canada's sovereignty. - FactsCanada","Andrew Scheer: The Global Compact for Migration cedes Canada's sovereignty. - FactsCanada","Andrew Scheer,CPC",2018-12-05
