"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/e317862e-dbad-5cb3-b972-105e5c30807d","http://www.politifact.com/texas/statements/2016/nov/18/jennie-lou-leeder/democrat-jennie-lou-leeder-says-texas-spends-more-/","Virginia """"Jennie Lou"""" Leeder","Texas spends 'more per day to house an inmate than we do on a student.'","Democrat Jennie Lou Leeder says Texas spends more per inmate than public school student","State Finances,States,Crime,Criminal Justice,State Budget",2016-10-17
"http://data.gesis.org/claimskg/creative_work/64ede41e-940c-58fa-9617-6bcb91814197","http://www.politifact.com/wisconsin/statements/2014/jul/25/joe-leibham/federal-government-required-states-adopt-common-co/","Joe Leibham","Says Common Core is a federal mandate.","Federal government required states to adopt Common Core school standards, congressional hopeful says","Children,Federal Budget,States",2014-07-19
"http://data.gesis.org/claimskg/creative_work/858b5a7e-701c-5189-bc47-d689c44b4d68","http://www.politifact.com/truth-o-meter/statements/2015/apr/21/hillary-clinton/hillary-clinton-says-us-was-first-create-community/","Hillary Clinton","'The United States invented the community college. Nobody else had ever done anything like it.'","Hillary Clinton says U.S. was first to create community colleges","History",2015-04-21
"http://data.gesis.org/claimskg/creative_work/aae7fe82-5d9c-56f1-abb0-a4001bcf7388","http://www.politifact.com/texas/statements/2017/dec/05/tom-luce/tom-luce-understates-share-texas-students-succeedi/","Tom Luce","'Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.'","Tom Luce understates share of Texas students succeeding in education after high school","Children",2017-11-15
"http://data.gesis.org/claimskg/creative_work/062873d0-cb49-571e-bedd-63676e842aba","http://www.politifact.com/oregon/statements/2013/nov/05/portland-association-teachers/are-portland-public-school-teachers-being-left-beh/","Portland Association of Teachers","Says administrator salaries were increased, 'but other school employees were left behind.'","Are Portland Public School teachers being left behind while administrators see raises?","Unions",2013-10-10
"http://data.gesis.org/claimskg/creative_work/94205489-d5f7-501f-bf29-0d2cb2ae2bda","http://www.politifact.com/truth-o-meter/statements/2016/feb/28/donald-trump/fact-checking-donald-trumps-claims-about-trump-uni/","Donald Trump","'We (Trump University) have an ‘A’ from the Better Business Bureau.'","Fact-checking Donald Trump's claims about Trump University","Corrections and Updates,Candidate Biography",2016-02-28
"http://data.gesis.org/claimskg/creative_work/bffe4bce-f8e1-5c1f-a7fc-726fdef75c7a","http://www.politifact.com/georgia/statements/2014/feb/11/kasim-reed/mayor-working-keep-more-tech-grads/","Kasim Reed","'Right now, we only keep 50 percent of Georgia Tech's graduates.'","Mayor working to keep more Tech grads","Jobs",2014-01-31
"http://data.gesis.org/claimskg/creative_work/f5add041-fa57-5ac1-b3e8-5051e9d676ee","http://www.politifact.com/florida/statements/2011/oct/12/george-lemieux/did-hasner-call-himself-moderate-based-abortion-an/","George LeMieux","Says U.S. Senate candidate Adam Hasner 'cited his efforts to weaken pro-life and school choice legislation as unequivocal proof that he’s a moderate.'","Did Adam Hasner call himself a moderate based on abortion and school choice votes?","Candidate Biography,Abortion",2011-10-03
"http://data.gesis.org/claimskg/creative_work/6941bddd-bd81-57a8-b182-9e7880d51ae9","http://www.politifact.com/missouri/statements/2017/dec/26/parker-briden/governors-spokesman-fudges-education-funding-perfo/","Parker Briden","'We've seen funding increases for schools. We haven't seen a corresponding performance increase.'","Governor's spokesman fudges on education funding, performance","State Budget",2017-11-13
"http://data.gesis.org/claimskg/creative_work/9285e2e8-ff4d-5fc4-bd3a-a3b0e7c809b1","http://www.politifact.com/rhode-island/statements/2011/sep/04/richard-tomlins/robocall-says-cranston-mayoral-academy-would-incre/","Richard Tomlins","'Mayor Fung wants to punish our children's education by removing 12 million dollars from current funding to pay for his private charter school. Your taxes would increase by between 6 and 8 percent per year.'","Robocall says Cranston mayoral academy would increase taxes 6 percent to 8 percent","Children,State Budget,Deficit,City Budget",2011-08-22
"http://data.gesis.org/claimskg/creative_work/3538b1a6-1c1e-54cf-9428-094243284795","http://www.politifact.com/wisconsin/statements/2015/aug/11/facebook-posts/scott-walker-was-asked-leave-marquette-university-/","Facebook posts","Scott Walker 'had a 2.3 GPA when he was asked to leave Marquette University for cheating.'","Meme claims Scott Walker 'was asked to leave Marquette University for cheating'","Elections,Candidate Biography",2015-08-11
"http://data.gesis.org/claimskg/creative_work/9f0886f9-5e7e-5c0e-8a67-602ddef659d3","http://www.politifact.com/truth-o-meter/statements/2017/nov/07/dianne-feinstein/closer-look-classroom-expenses-deduction-teachers-/","Dianne Feinstein","'Teachers spend $1.6 BILLION per year on school supplies. The Republican tax bill ELIMINATES their ability to deduct those expenses.'","A closer look at the classroom-expenses deduction for teachers: How big is it?","Corrections and Updates",2017-11-06
"http://data.gesis.org/claimskg/creative_work/a1ffb3b0-09bb-5f85-b442-7dd5ebb7b9bd","http://www.politifact.com/truth-o-meter/statements/2016/aug/26/hillary-clinton/hillary-clinton-citing-trump-effect-says-teachers-/","Hillary Clinton","'Parents and teachers are already worrying about what they call the ‘Trump Effect.’ They report that bullying and harassment are on the rise in our schools, especially targeting students of color, Muslims and immigrants.'","Hillary Clinton, citing 'Trump Effect,' says teachers are reporting more bullying in schools","Islam",2016-08-25
"http://data.gesis.org/claimskg/creative_work/3f43addd-bf2d-5034-ae21-10b00a6d466f","http://www.politifact.com/wisconsin/statements/2015/jun/19/russ-feingold/ron-johnson-against-all-government-assisted-studen/","Russ Feingold","Says U.S. Senate opponent Ron Johnson 'is opposed to all government-assisted student loans.'","Ron Johnson is against all government-assisted student loans, U.S. Senate rival Russ Feingold says","Financial Regulation,Federal Budget,Debt",2015-06-05
"http://data.gesis.org/claimskg/creative_work/39e4db71-3e0b-5cc1-b024-913cc9adbabf","http://www.politifact.com/texas/statements/2016/oct/07/cocks-not-glocks/dildo-university-texas-class-could-lead-ticket-wou/","Cocks Not Glocks","'You would receive a citation for taking a dildo to class' at the University of Texas.","Dildo in University of Texas class could lead to a ticket, but would it? Uncertain","Guns,Regulation",2016-08-24
"http://data.gesis.org/claimskg/creative_work/86d9c2ba-1fe4-51b5-acd5-9e397f90f55d","http://www.politifact.com/oregon/statements/2012/apr/27/charlie-hales/did-charlie-hales-help-negotiate-one-time-deal-por/","Charlie Hales","Says 'I worked with our Mayor and other commissioners to help save the school year when a budget crisis in Salem threatened to cut four weeks of the school year,' including  negotiating with teachers to work for free.","Did Charlie Hales help negotiate a one-time deal with Portland teachers that saved the school year?","City Government,Voting Record,Message Machine 2012",2012-03-28
"http://data.gesis.org/claimskg/creative_work/044195ed-97ac-5696-9ecf-a3b972350954","http://www.politifact.com/texas/statements/2011/jun/02/texas-house-democratic-caucus/house-democrats-say-neighborhood-schools-are-closi/","Texas House Democratic Caucus","'Some neighborhood schools are closing.'","House Democrats say neighborhood schools are closing because of budget cuts","State Budget",2011-05-18
"http://data.gesis.org/claimskg/creative_work/914be2a2-94c5-5dd2-8a18-234ce6593713","http://www.politifact.com/texas/statements/2018/feb/23/dan-patrick/dan-patricks-2017-teacher-pay-proposal-didnt-make-/","Dan Patrick","'Last year, I proposed directing more of the education budget to teacher salaries, a move that would have resulted in an average $10,000 raise for teachers.'","Dan Patrick says he proposed directing education budget to drive up teacher salaries $10,000","State Budget",2018-01-16
"http://data.gesis.org/claimskg/creative_work/74698491-b5a2-5075-804d-91acd090f8e3","http://www.politifact.com/georgia/statements/2014/dec/19/everytown-gun-safety/deeper-look-claim-georgia-leads-nation-school-shoo/","Everytown for Gun Safety","Georgia has had 12 school shootings in the two years since the mass killing at Sandy Hook Elementary School, more than any other state.","A deeper look at claim Georgia leads the nation in school shootings since Sandy Hook","Children,Guns,Public Safety",2014-12-10
"http://data.gesis.org/claimskg/creative_work/33d0cdb0-da37-57e1-96c5-e47ae207d464","http://www.politifact.com/virginia/statements/2010/oct/28/rick-boucher/morgan-griffith-says-rick-boucher-sent-education-m/","Rick Boucher","'Morgan Griffith fought for a plan that would have taken money away from our schools and given it to Northern Virginia schools instead.'","Rick Boucher says Morgan Griffith fought to send education money from Southwest Virginia to Northern Virginia","State Budget",2010-10-25
"http://data.gesis.org/claimskg/creative_work/b46186ae-5491-5bfd-a6c9-24bb977057f8","http://www.politifact.com/north-carolina/statements/2018/may/16/stokes-county-school-teacher/nc-teacher-i-make-53-day-records-show-hes-wrong/","Stokes County school teacher","'I am roughly being paid $53 a day to educate your child.'","NC teacher: I make $53 per day. Records show he's wrong.","State Budget",2018-05-10
"http://data.gesis.org/claimskg/creative_work/3b0668bd-54c8-5d54-8017-085c465dc833","http://www.politifact.com/texas/statements/2012/apr/12/susan-combs/comptroller-susan-combs-says-state-lawmakers-did-n/","Susan Combs","The 2011 Legislature did not cut Texas public school funding.","Comptroller Susan Combs says state lawmakers did not cut public education funding","State Finances,State Budget",2012-04-04
"http://data.gesis.org/claimskg/creative_work/b50d7289-ae5f-5924-854b-3a14f905b18e","http://www.politifact.com/wisconsin/statements/2011/jun/20/sandy-pasch/wisconsin-rep-sandy-pasch-says-sen-alberta-darling/","Sandy Pasch","State Sen. Alberta Darling 'voted to add more than $1 billion in additional spending' while cutting programs such as education and health care","Wisconsin Rep. Sandy Pasch says Sen. Alberta Darling voted to add $1 billion in spending while cutting education and health care","State Budget",2011-06-14
